TED_waveform,TED_transcript
3088_AdamdelaZerda_2016X,so we 're going to play a little
3089_AdamdelaZerda_2016X,experiment here i 'm going to ask each of you to now play and imagine that you are brain
3090_AdamdelaZerda_2016X,<unk> surgeons and you guys are now at an operating room and there 's a patient in front of you
3091_AdamdelaZerda_2016X,and your task is to make sure that the tumor is out <unk>
3092_AdamdelaZerda_2016X,so you 're looking down at the patient
3093_AdamdelaZerda_2016X,<unk> the skin and the skull have already been removed so you 're looking at the brain <unk> and all you know about this patient
3094_AdamdelaZerda_2016X,<unk> there 's a tumor about the size of a golf ball or so
3095_AdamdelaZerda_2016X,in the right frontal lobe of this person 's brain
3096_AdamdelaZerda_2016X,and that 's more or less it <unk> so you 're looking down and unfortunately everything looks the same because brain cancer tissue and healthy brain tissue really just look the same <unk>
3097_AdamdelaZerda_2016X,and so you 're going in with your thumb and you start to press a little bit on the brain because tumors tend to be a little harder stiffer <unk> and so you go in and go a little bit like this and say it seems like the
3098_AdamdelaZerda_2016X,<unk> then you take out your knife and start cutting the tumor piece by piece by piece and as you 're taking the tumor out
3099_AdamdelaZerda_2016X,then you 're getting to a stage where you think alright i 'm done i took out everything
3100_AdamdelaZerda_2016X,and at this stage if that 's so far everything sounded like pretty crazy you 're now about to face the most challenging decision of your life here <unk>
3101_AdamdelaZerda_2016X,because now you need to decide should i stop here <unk> and let this patient go <unk> risking that
3102_AdamdelaZerda_2016X,<unk> might be some leftover cancer cells behind that i just couldn 't see
3103_AdamdelaZerda_2016X,or should i take away some extra margins typically about an inch or so around the tumor just to be sure that i removed everything <unk>
3104_AdamdelaZerda_2016X,so this is not a simple
3105_AdamdelaZerda_2016X,decision to make and unfortunately this is the decision that that brain cancer surgeons have to take every single day as they 're seeing their patients <unk>
3106_AdamdelaZerda_2016X,and so i remember talking to a few friends of mine in the lab and
3107_AdamdelaZerda_2016X,<unk> but not just like you tell a friend that there 's got to be a better way there 's just got to be a better way here
3108_AdamdelaZerda_2016X,this is just incredible <unk> and so
3109_AdamdelaZerda_2016X,we looked back remember those pet scans i told you about the sugar and so on we said hey <unk> how about instead of using sugar molecules <unk> let 's maybe take tiny tiny little particles made of gold
3110_AdamdelaZerda_2016X,and let 's program them with some interesting chemistry around them let 's program them to look for cancer cells and
3111_AdamdelaZerda_2016X,<unk> these gold particles into these patients
3112_AdamdelaZerda_2016X,by the billions again and we 'll have them go all over the body and just like secret agents if you will go
3113_AdamdelaZerda_2016X,and walk by every single cell in our body and knock on the door of that cell and ask are you a cancer cell or are you a healthy cell if you 're a healthy cell we 're moving on if you 're a cancer cell we 're sticking in and shining out and telling us
3114_AdamdelaZerda_2016X,<unk> do it through some interesting cameras that we developed in the lab <unk> and once we see that maybe we can guide brain cancer surgeons towards taking only the tumor and leaving the healthy brain alone
3115_AdamdelaZerda_2016X,<unk> and so we 've tested that and boy this works well <unk> so i 'm going to show you an example now <unk>
3116_AdamdelaZerda_2016X,what you 're looking at here
3117_AdamdelaZerda_2016X,is an image of a mouse 's brain <unk> and we 've implanted into this mouse 's brain
3118_AdamdelaZerda_2016X,a small little tumor and so this tumor is now growing in this mouse 's brain
3119_AdamdelaZerda_2016X,<unk> and then we 've taken a doctor and asked the doctor to please operate on the mouse as if
3120_AdamdelaZerda_2016X,that was a patient
3121_AdamdelaZerda_2016X,and take out piece by piece out of the tumor and while he 's doing that we 're going to take images to see where the gold particles are <unk> and so we 're going to first start
3122_AdamdelaZerda_2016X,by injecting these gold particles into this mouse and we 're going to see right here at the very left there that image at the bottom is the image that shows where the gold particles
3123_AdamdelaZerda_2016X,<unk> that these gold particles actually made it all the way to the tumor and then they shine out and tell us hey we 're here here 's the tumor
3124_AdamdelaZerda_2016X,so now we can see the tumor but we 're not showing this to the doctor yet <unk>
3125_AdamdelaZerda_2016X,we 're asking the doctor now please start cutting away the tumor and you 'll see here the doctor just took the first quadrant of the tumor and you see that first quadrant is now missing
3126_AdamdelaZerda_2016X,the doctor then took the second quadrant the third and now it appears to be everything <unk>
3127_AdamdelaZerda_2016X,and so at this stage the doctor came back
3128_AdamdelaZerda_2016X,<unk> to us and said alright i 'm done
3129_AdamdelaZerda_2016X,what do you want me to do should i keep things as they are or do you want me to take some extra margins around and then we said well hang on
3130_AdamdelaZerda_2016X,we told the doctor you 've missed those two spots so rather than taking huge margins around <unk> only take out those tiny little areas
3131_AdamdelaZerda_2016X,take them out and then let 's take a look and so the doctor took them away <unk>
3132_AdamdelaZerda_2016X,and
3133_AdamdelaZerda_2016X,lo and behold the cancer is now completely gone now the important thing is that it 's not
3134_AdamdelaZerda_2016X,<unk> that the cancer is completely gone from this person 's brain or from this mouse 's brain
3135_AdamdelaZerda_2016X,the most important thing is that we did not have to take huge amounts of of healthy brain in the process <unk>
3136_AdamdelaZerda_2016X,and so now we can actually imagine a world where doctors and surgeons as they take away a tumor they actually know what to take out and they no longer have to guess with
3137_AdamdelaZerda_2016X,<unk> here 's why it 's extremely important to take those tiny little leftover tumors those leftover tumors <unk> even if it 's just a handful of cells they will grow
3138_AdamdelaZerda_2016X,to recur the tumor <unk> for the tumor to come back in fact the reason why eighty to ninety percent of those brain cancer surgeries ultimately fail is because of those small little
3139_AdamdelaZerda_2016X,extra margins that were left positive those small little leftover tumors that were left there <unk> so
3140_AdamdelaZerda_2016X,this is clearly very nice but what i really want to share with you is where i think
3141_AdamdelaZerda_2016X,<unk> we 're heading from here <unk> and so in my lab at stanford my students and i are
3142_AdamdelaZerda_2016X,what should we be working on now <unk> and i think where medical imaging is heading to
